"datestamp","MunicipalPcode","total.pop","idp.ratio","return.ratio"
2017-01-01,"RTB",57051.5,0.00457919598958835,0.00120505157620746
2017-01-01,"KAT",2037054.25,0.223305663067147,3.64496920001026e-05
2017-01-01,"ORI",111867.25,0.012783008431869,0
2017-01-01,"MAB",128130.75,0.0149164037516365,0.000579486188912498
2017-01-01,"KIP",21637,0.0241484494153533,0.0025419420437214
2017-01-01,"CGY",115893.25,0.157368958071329,0
2017-01-01,"POL",46860,0.00586854460093897,0
2017-01-01,"ALC",52123.5,0.13590798775984,0
2017-01-01,"FAM",42366.5,0,0
2017-01-01,"EUQ",375919.5,0.143784108033768,0.00351139007154457
2017-01-01,"ALE",384329,0.184585992730187,0
2017-01-01,"CSB",14091,0.00819672131147541,0.0191256830601093
2017-01-01,"AHE",8767,0,0.00188205771643664
2017-01-01,"CFA",22418,0,0.00220804710500491
2017-01-01,"CLB",948.75,0,0.115942028985507
2017-01-01,"BNA",184101.5,0.0262300958981866,0
2017-01-01,"MIO",109868,0,0
2017-01-01,"BUS",130388.5,0.170245075294217,0
2017-01-01,"DPL",58841.75,0.0419217647333738,0
2017-01-01,"SNO",73986,0.257099316086827,0
2017-01-01,"BOA",94575.25,0.0889476898025646,0
2017-01-01,"ORL",44858,0.0223761647866601,0
2017-01-01,"AMU",24733.5,0.20925061151879,0
2017-01-01,"KAL",2404388.25,0.474977782810243,0
2017-01-01,"CNN",22217.25,0.06498329001114,0
2017-01-01,"ROD",0,NA,NA
2017-01-01,"SLM",28366.25,0.108095007270965,0
2017-01-01,"LUN",29185.75,0.106190521059078,0
2017-01-01,"GGM",5049,0.2260348583878,0
2017-01-01,"BIN",42696.5,0.0521705526214093,0
2017-01-01,"BTC",200304.5,0.293802685411461,0
2017-01-01,"SC2",36720.75,0.0732419680970568,0
2017-01-01,"MEY",68502.5,0.0578883982336411,0
2017-01-01,"AGT",31691,0.0498958694897605,0
2017-01-01,"PSL",29837.5,0.0529953917050691,0
2017-01-01,"LAO",27920.75,0.0566335073377327,0
2017-01-01,"BLC",32914.75,0.0914863397109199,0
2017-01-01,"VZA",18031.75,0.0375171572365411,0
2017-01-01,"VIG",12727,0.0864304235090752,0
2017-01-01,"CND",3421,0,0
2017-01-01,"LAC",25597,0.0494198538891276,0
2017-01-01,"4BA",112076.25,0.065979634400687,0
2017-01-01,"BUN",16684.25,0.0791165320586781,0
2017-01-01,"BMB",45765.5,0.0474702559788487,0
2017-01-01,"CBT",16975.75,0.0575085047788758,0
2017-01-01,"ARI",623771.5,0.373634415807712,5.2903988078968e-05
2017-01-01,"TNY",55387.75,0.280274067821856,0
