"distance","MunicipalPcode.A","MunicipalPcode.B"
67623.5756439263,"CHO","MRA"
48209.8073886106,"CHO","TEN"
70891.8861968169,"CHO","MAU"
55528.7900393958,"CHO","PLW"
61201.0484461119,"CHO","PIL"
56441.8509666426,"CHO","GUA"
44267.8934501713,"CHO","KWT"
40768.6969928846,"CHO","AMA"
30267.6975483652,"CHO","TAR"
28745.8274640793,"CHO","MBC"
23708.3311568938,"CHO","MTN"
45919.6741911564,"CHO","PLL"
77518.3675350313,"CHO","MNI"
88197.8515142227,"CHO","SUT"
82817.7138330978,"CHO","CAR"
83543.5873565129,"CHO","MTP"
130128.628624821,"CHO","BOO"
108321.273293895,"CHO","CGI"
118745.399821705,"CHO","ODI"
34432.0519952192,"CHO","IMU"
73482.0127653534,"CHO","KLR"
28862.0913964105,"CHO","APN"
42994.7996754729,"CHO","TAT"
93328.0062817057,"CHO","BAC"
75592.251558572,"CHO","RSO"
329062.856912329,"CHO","STT"
314931.493447383,"CHO","CLT"
307681.334176098,"CHO","SJ2"
310915.072631571,"CHO","TAA"
304216.934856029,"CHO","STS"
303049.832571344,"CHO","BLY"
302177.563258628,"CHO","CLG"
294537.930827309,"CHO","LBA"
299215.320232765,"CHO","PGC"
317313.506262305,"CHO","GUM"
307907.264375246,"CHO","LAU"
305101.158040502,"CHO","ALM"
321929.859037758,"CHO","MLV"
311887.045868444,"CHO","NUG"
279647.017586288,"CHO","AGO"
255642.76496062,"CHO","STA"
267465.832493704,"CHO","TNA"
265323.901404273,"CHO","CPC"
291774.872024415,"CHO","BTG"
285027.620704642,"CHO","PAR"
276401.347000931,"CHO","CRA"
252823.354085658,"CHO","QPT"
261145.283212532,"CHO","LBO"
245835.67213551,"CHO","ALI"
230435.846169378,"CHO","IBN"
292174.532344553,"CHO","BAU"
297692.996349732,"CHO","LEM"
296583.652663361,"CHO","LIP"
289414.887142311,"CHO","SAY"
278508.650655336,"CHO","MCB"
320007.34185836,"CHO","APA"
336668.360424027,"CHO","CUE"
339473.207099575,"CHO","NHV"
313184.548372288,"CHO","TUY"
318577.875324282,"CHO","AQE"
313280.079019279,"CHO","MTK"
168210.373588587,"CHO","PCA"
157309.858957295,"CHO","TAB"
171547.103376229,"CHO","RXS"
153578.821829421,"CHO","BAT"
176199.874716989,"CHO","BRP"
189850.127995938,"CHO","CUG"
217013.801270103,"CHO","BOP"
211695.813376693,"CHO","SLU"
204973.720915573,"CHO","NAP"
212735.454360215,"CHO","GHG"
161846.344179549,"CHO","TAY"
168413.760810294,"CHO","LZB"
190024.776671053,"CHO","BRT"
186384.502559175,"CHO","TUG"
179830.136036699,"CHO","LOP"
174407.485437441,"CHO","RZP"
173210.929560869,"CHO","NAR"
144444.129761476,"CHO","BTS"
148967.791881703,"CHO","SFS"
250274.192173844,"CHO","SIA"
253575.864523849,"CHO","STR"
155285.989452546,"CHO","BLT"
156983.693507155,"CHO","RTB"
125604.603324956,"CHO","KAT"
102122.039887483,"CHO","ORI"
144210.943538376,"CHO","MAB"
87625.7158602721,"CHO","KIP"
117651.462088501,"CHO","CGY"
126150.913822762,"CHO","POL"
94254.1263364815,"CHO","ALC"
107963.660928789,"CHO","FAM"
105094.084319636,"CHO","EUQ"
123559.927910136,"CHO","ALE"
132519.309574471,"CHO","CSB"
106648.781963261,"CHO","AHE"
114029.390914125,"CHO","CFA"
136257.242193714,"CHO","CLB"
142524.998489152,"CHO","BNA"
129730.700954734,"CHO","MIO"
157047.4835635,"CHO","BUS"
158444.570714715,"CHO","DPL"
156411.390225166,"CHO","SNO"
118359.481819578,"CHO","BOA"
105716.108557417,"CHO","ORL"
110448.818133395,"CHO","AMU"
139518.946047033,"CHO","KAL"
126707.855647623,"CHO","CNN"
108391.548283214,"CHO","ROD"
128432.475686443,"CHO","SLM"
120945.020758735,"CHO","LUN"
111955.200443645,"CHO","GGM"
137546.658083257,"CHO","BIN"
142488.222896982,"CHO","BTC"
135059.283407662,"CHO","SC2"
142821.590881877,"CHO","MEY"
135503.252204727,"CHO","AGT"
135901.416697521,"CHO","PSL"
132101.026248073,"CHO","LAO"
121342.073559116,"CHO","BLC"
108844.377113536,"CHO","VZA"
116764.051348656,"CHO","VIG"
105439.219866572,"CHO","CND"
125267.026841766,"CHO","LAC"
127257.365638026,"CHO","4BA"
126310.988350647,"CHO","BUN"
130360.25994002,"CHO","BMB"
118679.656039364,"CHO","CBT"
59500.8776105455,"CHO","ARI"
49539.1472214876,"CHO","TNY"
44042.136550318,"CHO","KIW"
49416.676991344,"CHO","TBC"
35819.7263205291,"CHO","URD"
47897.7911443438,"CHO","IBA"
49002.6954357865,"CHO","TOB"
68907.2785632024,"CHO","KLM"
95355.9530610222,"CHO","DUL"
69176.9309661813,"CHO","PGB"
89531.3554115473,"CHO","CDY"
84207.3530496312,"CHO","TLS"
85350.9252481683,"CHO","ANT"
57872.1203665392,"CHO","TGL"
38547.0391635297,"CHO","KOL"
65667.6450789668,"CHO","MIN"
57207.585169149,"CHO","CAI"
49725.9839402856,"CHO","MSA"
63090.1519232264,"CHO","KAR"
84684.9496834889,"CHO","BAR"
93643.4954382229,"CHO","KIN"
72782.8344144933,"CHO","SIR"
82356.5070153175,"CHO","BAN"
65460.4369528123,"CHO","IGN"
78283.3874610535,"CHO","SDG"
78194.7886922732,"CHO","MTI"
312694.531952461,"CHO","HNG"
290188.872811581,"CHO","TIA"
322439.25111611,"CHO","SPB"
352609.854602807,"CHO","LIG"
354574.473918807,"CHO","SAG"
291169.019628509,"CHO","NAL"
357267.87926476,"CHO","DPG"
372306.967664091,"CHO","MEX"
390755.042084634,"CHO","SAR"
346849.419815695,"CHO","NAB"
402116.2755335,"CHO","LUE"
456104.66098354,"CHO","HNB"
424264.655413405,"CHO","LEG"
430445.189885016,"CHO","VIC"
257875.059675632,"CHO","NAC"
317451.437354039,"CHO","VTO"
264002.235149407,"CHO","BOR"
266178.83183182,"CHO","LPO"
335293.94955848,"CHO","BNG"
287543.617763545,"CHO","NOR"
243978.945108421,"CHO","TGD"
303616.721587933,"CHO","BCT"
347823.815656434,"CHO","PPP"
350321.471818234,"CHO","TTO"
380136.569926899,"CHO","DIN"
358736.055894169,"CHO","HIL"
394681.473887541,"CHO","SAI"
306432.569981665,"CHO","ARY"
352188.343604025,"CHO","TOO"
335156.208124691,"CHO","BSO"
179977.741605466,"CHO","BUR"
188951.636552508,"CHO","PPB"
196208.39036733,"CHO","LAB"
187146.118657675,"CHO","PNB"
171843.080209716,"CHO","BCL"
195211.05776563,"CHO","PMT"
190873.258868663,"CHO","TGW"
155428.874935172,"CHO","CDB"
166639.057227715,"CHO","XSO"
153538.031631766,"CHO","BMN"
178502.614312538,"CHO","TGT"
168145.464626512,"CHO","PDC"
173987.853280531,"CHO","CUR"
164418.851854154,"CHO","ZAM"
183684.636431076,"CHO","AOO"
179539.084189589,"CHO","SIY"
169173.120686635,"CHO","DIC"
165121.936711729,"CHO","PAG"
174920.272822629,"CHO","MSB"
161017.628955361,"CHO","KAS"
164279.104478934,"CHO","VTL"
154966.988122509,"CHO","CGP"
163400.314332975,"CHO","SMA"
142517.495942231,"CHO","BLU"
150211.19272289,"CHO","SJI"
157736.400373278,"CHO","KUM"
142820.042678029,"CHO","CLM"
159587.507193021,"CHO","TON"
195294.954615259,"CHO","GUN"
208189.545577344,"CHO","UPT"
219748.101087309,"CHO","DAR"
160149.523943783,"CHO","LOB"
208686.53652327,"CHO","LEY"
153135.611466498,"CHO","ALB"
132149.659146787,"CHO","TAL"
145768.413875001,"CHO","FLB"
107349.372214775,"CHO","ANG"
407904.56394815,"CHO","LTB"
417020.898574235,"CHO","BAY"
395314.340033211,"CHO","PTR"
394711.355272557,"CHO","MAN"
391022.895290902,"CHO","HIM"
397936.250337827,"CHO","SMR"
412925.446455443,"CHO","IRN"
400211.142346429,"CHO","SSI"
360665.354031007,"CHO","TLD"
344823.536671277,"CHO","PGA"
347624.615669694,"CHO","LUB"
373476.657830157,"CHO","PGS"
370920.733151329,"CHO","POR"
388215.964082327,"CHO","MLB"
381596.669721199,"CHO","SOR"
381744.624270062,"CHO","TAS"
386832.334021781,"CHO","TLG"
393374.697845136,"CHO","PAN"
379727.467216169,"CHO","CDO"
378401.938962303,"CHO","OTP"
416625.742190125,"CHO","OZC"
409344.077553841,"CHO","GAP"
424738.291315983,"CHO","TBU"
421902.028081416,"CHO","TIW"
403548.19370743,"CHO","CAV"
371356.562253153,"CHO","SAE"
358710.994768592,"CHO","SPO"
366843.847048665,"CHO","MLL"
347120.632142263,"CHO","ABU"
368018.379509731,"CHO","TUI"
350634.166453568,"CHO","SAM"
376976.074295752,"CHO","MLO"
357370.843507096,"CHO","MPH"
394359.196006596,"CHO","ROM"
390759.245355499,"CHO","AAV"
294745.01894205,"IND","MNL"
27737.2246023415,"IND","CHO"
0,"IND","IND"
53699.9851254794,"IND","STO"
33477.9887161229,"IND","TZA"
14066.2078531286,"IND","MNU"
19689.7237586415,"IND","VIL"
24597.1019362656,"IND","SIL"
60683.6429329514,"IND","NAN"
66608.3745400521,"IND","STF"
71263.3505410735,"IND","NAI"
81886.8731785576,"IND","GTR"
58771.8162651296,"IND","NOV"
74259.4342805173,"IND","MIC"
80560.6870122196,"IND","DAS"
35724.3316019678,"IND","TAC"
67130.7644760914,"IND","MRA"
34724.9340171426,"IND","TEN"
65166.6224492968,"IND","MAU"
59121.7802050567,"IND","PLW"
48552.6262763201,"IND","PIL"
50534.3108189052,"IND","GUA"
53580.2942486285,"IND","KWT"
61466.5054715991,"IND","AMA"
41938.4900397595,"IND","TAR"
47493.5670372893,"IND","MBC"
28757.6188787081,"IND","MTN"
61104.6454477983,"IND","PLL"
104723.369728591,"IND","MNI"
115878.963315063,"IND","SUT"
105400.277796129,"IND","CAR"
108739.62502391,"IND","MTP"
156681.947686232,"IND","BOO"
134294.58724335,"IND","CGI"
146462.857648721,"IND","ODI"
57672.0023393593,"IND","IMU"
87920.2110473557,"IND","KLR"
45151.4704608155,"IND","APN"
58269.4311738604,"IND","TAT"
118878.306622401,"IND","BAC"
100169.5122438,"IND","RSO"
317247.14506643,"IND","STT"
303213.33982457,"IND","CLT"
295931.78751402,"IND","SJ2"
299676.467922157,"IND","TAA"
292762.046220685,"IND","STS"
291334.619322176,"IND","BLY"
289292.69151079,"IND","CLG"
283721.487100022,"IND","LBA"
287542.376195787,"IND","PGC"
319288.635642083,"IND","GUM"
302387.579966398,"IND","LAU"
295348.40960069,"IND","ALM"
312120.355808033,"IND","MLV"
301958.376116735,"IND","NUG"
269599.221688788,"IND","AGO"
247991.158010863,"IND","STA"
256982.685957541,"IND","TNA"
258351.903124974,"IND","CPC"
279437.203828825,"IND","BTG"
273503.058531452,"IND","PAR"
264222.142027445,"IND","CRA"
241888.191437745,"IND","QPT"
248963.995934207,"IND","LBO"
236730.738568971,"IND","ALI"
221350.898346585,"IND","IBN"
278013.848794882,"IND","BAU"
283216.629700691,"IND","LEM"
283290.417457864,"IND","LIP"
275854.024785359,"IND","SAY"
264856.401099218,"IND","MCB"
306146.521206528,"IND","APA"
322278.482918598,"IND","CUE"
326083.149082564,"IND","NHV"
300469.168136615,"IND","TUY"
306167.85433131,"IND","AQE"
301207.949469221,"IND","MTK"
158336.688421631,"IND","PCA"
143717.377167078,"IND","TAB"
158511.568358696,"IND","RXS"
145671.501048645,"IND","BAT"
171959.537856876,"IND","BRP"
182563.538695738,"IND","CUG"
215185.551650661,"IND","BOP"
206378.714756332,"IND","SLU"
195048.863424582,"IND","NAP"
205396.125772592,"IND","GHG"
146928.746139791,"IND","TAY"
152990.412997828,"IND","LZB"
177784.243386323,"IND","BRT"
169634.634505026,"IND","TUG"
164991.195173117,"IND","LOP"
157553.30173525,"IND","RZP"
157154.758789717,"IND","NAR"
134031.935161312,"IND","BTS"
138652.091725348,"IND","SFS"
260067.236913704,"IND","SIA"
270966.044145261,"IND","STR"
150507.856587023,"IND","BLT"
159879.34024374,"IND","RTB"
113869.932476932,"IND","KAT"
90210.294186755,"IND","ORI"
130310.447794855,"IND","MAB"
87076.6125996918,"IND","KIP"
96923.918693589,"IND","CGY"
106439.737460619,"IND","POL"
69772.9852107163,"IND","ALC"
84479.1103556519,"IND","FAM"
83952.7946375716,"IND","EUQ"
117373.265077427,"IND","ALE"
131043.551858753,"IND","CSB"
116493.028993335,"IND","AHE"
112348.874674307,"IND","CFA"
147354.661471645,"IND","CLB"
125078.050205928,"IND","BNA"
111881.722010201,"IND","MIO"
141125.65135309,"IND","BUS"
141434.332937595,"IND","DPL"
137939.352260363,"IND","SNO"
102268.626877672,"IND","BOA"
89432.5951760562,"IND","ORL"
92351.0158438929,"IND","AMU"
113052.471409631,"IND","KAL"
100380.841600828,"IND","CNN"
81275.8058741976,"IND","ROD"
101588.606397264,"IND","SLM"
93559.2703999584,"IND","LUN"
84293.8407904479,"IND","GGM"
111759.171858809,"IND","BIN"
118362.451729946,"IND","BTC"
111939.728538248,"IND","SC2"
120051.601953342,"IND","MEY"
111470.149753816,"IND","AGT"
114313.88484594,"IND","PSL"
109840.836954112,"IND","LAO"
95542.2130991013,"IND","BLC"
83596.6950504028,"IND","VZA"
91898.712684388,"IND","VIG"
79183.4687335295,"IND","CND"
100037.204717838,"IND","LAC"
103247.479490327,"IND","4BA"
103570.948741388,"IND","BUN"
105320.908068191,"IND","BMB"
94673.376697961,"IND","CBT"
33909.030476525,"IND","ARI"
44354.0270478195,"IND","TNY"
19863.6911855524,"IND","KIW"
32760.5992496715,"IND","TBC"
13104.7925841157,"IND","URD"
20407.3603274726,"IND","IBA"
26688.7241961109,"IND","TOB"
53054.7384741438,"IND","KLM"
78486.3079465347,"IND","DUL"
62906.1524034388,"IND","PGB"
68695.4641291986,"IND","CDY"
73764.464358838,"IND","TLS"
68571.7082236478,"IND","ANT"
31871.8270654115,"IND","TGL"
16231.666420449,"IND","KOL"
38498.0126011338,"IND","MIN"
29726.8346097912,"IND","CAI"
22929.2529070737,"IND","MSA"
35452.3460328829,"IND","KAR"
58468.0528103316,"IND","BAR"
66573.3525406641,"IND","KIN"
45273.1616961096,"IND","SIR"
54965.5860717172,"IND","BAN"
42635.7645328863,"IND","IGN"
55906.0090086798,"IND","SDG"
53404.5447741946,"IND","MTI"
340282.811669731,"IND","HNG"
317868.269180722,"IND","TIA"
349298.036556793,"IND","SPB"
378917.136352448,"IND","LIG"
382260.999354855,"IND","SAG"
318281.665158809,"IND","NAL"
384716.219328195,"IND","DPG"
400037.985891839,"IND","MEX"
418435.713642113,"IND","SAR"
374572.99028158,"IND","NAB"
429853.472438417,"IND","LUE"
483839.445141627,"IND","HNB"
451998.987785201,"IND","LEG"
458155.612016828,"IND","VIC"
285598.90947318,"IND","NAC"
345167.350655879,"IND","VTO"
287282.744209516,"IND","BOR"
292190.7953778,"IND","LPO"
359334.38816315,"IND","BNG"
309714.762528535,"IND","NOR"
268524.410516858,"IND","TGD"
327498.36521639,"IND","BCT"
372897.932114036,"IND","PPP"
370144.664328378,"IND","TTO"
403027.475879922,"IND","DIN"
380127.076630934,"IND","HIL"
416337.048612414,"IND","SAI"
328092.998010322,"IND","ARY"
375611.640701403,"IND","TOO"
356742.349231418,"IND","BSO"
159469.575327718,"IND","BUR"
167861.563008719,"IND","PPB"
177174.323282202,"IND","LAB"
167455.484216528,"IND","PNB"
150528.246717031,"IND","BCL"
177189.594275093,"IND","PMT"
172070.158231078,"IND","TGW"
133118.414268666,"IND","CDB"
144532.53833083,"IND","XSO"
131721.496639934,"IND","BMN"
159897.736898126,"IND","TGT"
150673.825738795,"IND","PDC"
156551.297486719,"IND","CUR"
146509.783892137,"IND","ZAM"
165717.375636783,"IND","AOO"
160165.503401747,"IND","SIY"
150126.727599379,"IND","DIC"
145942.988261329,"IND","PAG"
155101.344099553,"IND","MSB"
142640.754503423,"IND","KAS"
143990.978510138,"IND","VTL"
135408.51916693,"IND","CGP"
142089.306249983,"IND","SMA"
121197.881292784,"IND","BLU"
129966.799161775,"IND","SJI"
136767.2641446,"IND","KUM"
122592.454259351,"IND","CLM"
186416.136945878,"IND","TON"
219652.696246989,"IND","GUN"
234649.145841862,"IND","UPT"
245250.591449464,"IND","DAR"
187766.25968382,"IND","LOB"
236303.289358338,"IND","LEY"
180841.479702582,"IND","ALB"
156680.325547616,"IND","TAL"
168403.046994992,"IND","FLB"
133810.284999806,"IND","ANG"
396246.873826717,"IND","LTB"
407113.918100034,"IND","BAY"
383887.796674576,"IND","PTR"
381190.287473862,"IND","MAN"
378900.696547358,"IND","HIM"
385306.56026531,"IND","SMR"
402232.669946972,"IND","IRN"
389689.837860975,"IND","SSI"
348468.479453196,"IND","TLD"
334264.506809191,"IND","PGA"
335275.674394661,"IND","LUB"
362181.127065426,"IND","PGS"
358027.864503212,"IND","POR"
377307.790747842,"IND","MLB"
368817.63275442,"IND","SOR"
369759.025326438,"IND","TAS"
373654.757448979,"IND","TLG"
384142.228065697,"IND","PAN"
369638.665447768,"IND","CDO"
372374.475424874,"IND","OTP"
408711.353770524,"IND","OZC"
400293.260179548,"IND","GAP"
416288.196750195,"IND","TBU"
412879.519502166,"IND","TIW"
397338.053537924,"IND","CAV"
362399.618199125,"IND","SAE"
351355.609453686,"IND","SPO"
356703.769828831,"IND","MLL"
338086.679368252,"IND","ABU"
353262.336106909,"IND","TUI"
336267.843355404,"IND","SAM"
362854.302443894,"IND","MLO"
342022.054355774,"IND","MPH"
380066.027255341,"IND","ROM"
375835.761765304,"IND","AAV"
263566.18761134,"STO","MNL"
48404.866854119,"STO","CHO"
53699.9851254794,"STO","IND"
0,"STO","STO"
58283.2579685423,"STO","TZA"
63010.4706211506,"STO","MNU"
34243.1568469814,"STO","VIL"
29527.9327052832,"STO","SIL"
72983.1719035648,"STO","NAN"
