"datestamp","MunicipalPcode","pop.group","pop","need.health","need.water","need.food","need.nfi","need.education","need.livlihood","need.security","need.basicservices"
2017-01-01,"MNL","idp",1701301.25,0.205016851072084,0.194586562785397,0.222213511569453,0.190832370222499,0.223914944516734,0.351808196814056,0.304425891652052,0.260566066709232
2017-01-01,"MNL","resident",3368733.5,0.150652452175276,0.156655338720026,0.150537063855007,0.137585939196437,0.16452990790159,0.259849803345976,0.22381676971479,0.175522900520329
2017-01-01,"MNL","return",330,0.2,0,0.3,1,0,0.4,0.1,0.5
2017-01-01,"CHO","idp",594231,0.0282950149016123,0.193967114640603,0.020815747579645,0.0333486514503619,0.0297002554562115,0.326088187926917,0.00753896632790952,0.336437959312119
2017-01-01,"CHO","resident",3841730.75,0.069986070080523,0.23233470747527,0.0513617033156215,0.0874416335658088,0.0710751306556296,0.334449499746956,0.0353871136075843,0.404334703180331
2017-01-01,"CHO","return",24871,0.391381026094648,0.259337682441398,0.262129588677576,0.540264263600177,0.403991596638655,0.71624281291464,0.176105705440071,0.779870632463512
2017-01-01,"IND","idp",278118.5,0.142485217632053,0.153335179069354,0.283369588862302,0.00266725334704452,0.0021951074811636,0.266381236774972,0.00488559732631954,0.00526133644471691
2017-01-01,"IND","resident",375201.75,0.109578047010708,0.102552093640288,0.18411647866781,0.00291343257327558,0,0.159835675073477,0.00284746806218255,0.0059551294736765
2017-01-01,"IND","return",41.25,0.5,0,0.2,0,0,0.2,0,0
2017-01-01,"STO","idp",55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2017-01-01,"STO","resident",10912,0.236441532258065,0.199546370967742,0.144506048387097,0.0127016129032258,0.0926789314516129,0.477935987903226,0.280619959677419,0.0798135080645161
2017-01-01,"STO","return",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"TZA","idp",16137,0.208026584867076,0.0100886162235855,0.0374573960463531,0,0.133265167007498,0.68241308793456,0,0
2017-01-01,"TZA","resident",43639.75,0.172134349990548,0.0170017014304619,0.0881908122755057,0,0.201329636398009,0.700201651017707,0,0
2017-01-01,"TZA","return",1416.25,0.162135922330097,0,0.0776699029126214,0,0.16504854368932,0.706796116504854,0,0
2017-01-01,"MNU","idp",115651.25,0.117101414813934,0.0314041136606824,0.221067649506598,0.0816097966948044,0.0417072880751397,0.235983830697896,0,0.139426940910712
2017-01-01,"MNU","resident",221938.75,0.104057988972183,0.0346323028312992,0.187206492782355,0.0247444396257977,0.0528839601016046,0.107638931912521,0,0.13085310699461
2017-01-01,"MNU","return",27.5,0.2,0,0.2,0,0,0.3,0,0
2017-01-01,"VIL","idp",83520.25,0.221094135853281,0.242380889664483,0.297596391294327,0.0417503539560765,0.00997497612854368,0.283026571400349,0.0059267063975503,0.145102235685358
2017-01-01,"VIL","resident",154734.25,0.208203742868822,0.219674054063661,0.264071302895125,0.00863738958892424,0.0304805658734249,0.292539143725452,0.0401611957275135,0.180902660529262
2017-01-01,"VIL","return",3492.5,0.215354330708661,0.288188976377953,0.317716535433071,0,0,0.29488188976378,0.114173228346457,0.224015748031496
2017-01-01,"SIL","idp",1377.75,0.0119760479041916,0.0910179640718563,0.0850299401197605,0,0,0.464670658682635,0.0802395209580838,0.0143712574850299
2017-01-01,"SIL","resident",20369.25,0.00712839206156339,0.0580531929256109,0.054002970163359,0,0,0.371749696233293,0.142628594572701,0.0227082489536925
2017-01-01,"SIL","return",66,0,0.1,0.1,0,0,0.5,0.1,0
2017-01-01,"NAN","idp",92875.75,0.0842018772392148,0.133334320315045,0.179909987267936,0.0439152577502739,0.0562727622657152,0.331796109318094,0.000333106327539751,0.224722411393717
2017-01-01,"NAN","resident",216823.75,0.0647675819646141,0.0604236159553554,0.114586847612404,0.0113095313589955,0.056531168748811,0.243109899169256,0.00912486524193037,0.130492738918131
2017-01-01,"NAN","return",55,0.05,0.1,0,0,0,0,0,0
2017-01-01,"STF","idp",349.25,0.094488188976378,0.0393700787401575,0.1,0,0.031496062992126,0.189370078740157,0,0.131496062992126
2017-01-01,"STF","resident",38964.75,0.435937610275955,0.293955113275461,0.0960159503140659,0.109146728774084,0.438171360011292,0.461069941421413,0.0962594396217094,0.762594396217094
2017-01-01,"STF","return",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"NAI","idp",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"NAI","resident",22500.5,0.676332192617942,0.480872647274505,0.22529332681496,0.195184551454412,0.568516255194329,0.609472011733073,0.103361036421413,0.987778049376681
2017-01-01,"NAI","return",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"GTR","idp",8591,0.227048655569782,0.262243918053777,0.330825864276569,0.133130601792574,0.149279769526248,0.380777848911652,0.0409090909090909,0.498031370038412
2017-01-01,"GTR","resident",46252.25,0.146664486592544,0.00299066531898448,0,0,0.0495748855461086,0.233265949224092,0.0522682680302039,0.302030441762293
2017-01-01,"GTR","return",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"NOV","idp",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"NOV","resident",25940.75,0.644853175023852,0.540533234389908,0.187018975935545,0.189759355454256,0.639319410579879,0.598388635640835,0.102570762217746,1
2017-01-01,"NOV","return",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"MIC","idp",0,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"MIC","resident",33984.5,0.568575012137886,0.457719695743648,0.216309273345202,0.185479041916168,0.64566272859686,0.548393753034472,0.115390839941738,1
